01  Show first message
215 Mythril 3 Dancers' dance
216 Toroia Dance Troupe's dance
217 Dwarf Castle Dancer's dance
218 Characters 2, 5: Toggle Visibility, Message EF07
219 Reading the magazine?
220 'Sealed with unknown power'
221 Entering the Lunar Subterrane
222 Obtaining the magazine
223 Obtaining a Grimoire 6C
224 Obtaining a Grimoire 6D
225 Obtaining Excalibur
226 Trading the Rat Tail for Adamant
227 Trading the Pink Tail for Adamant Armor
228 Load Lunar Whale interior
229 Rydia learning Sylph using the Pan
230 Giant of Bab-il CPU battle
231 Zeromus Battle, Ending Events
232 Load Lunar Whale interior, activate Baron Black Chocobo
233 Boarding Blue Whale
234 Travel to/from Moon
235 Resting for free
236 TrapDoor battle 68
237 Element Fiends battle
238 Giving Adamant and Legend Sword to smithy
239 Bring up Troia pass shop
240 Do you have a pass?
241 Bring up Smith's shop
242 Watery Pass - North exiting message
243 Behemoth battle 50
244 Load Room of Wishes, play 'Long Way to Go'
245 Load Room of Wishes, Yang/Cid/Edward, play 'Long Way to Go'
246 Load Mysidia Crystal Room, play 'The Prelude'
247 Speaking to Sylph before Yang awakes
248 Obtaining a Grimoire 91
249 Trading the Pan for the Spoon
250 Using the Tower Key
251 Visual effect 33
252 Obtaining the Ribbon
253 Viewing the moon through the telescope
254 Two explosions at right side of screen
